Element	Ion	Isotope	lambda	r_lambda	loggf	e_loggf	r_loggf	gfflag	synflag	Labellow	Jlow	Elow	r_Elow	Labelup	Jup	Eup	r_Eup	Rad-damp	r_Rad-damp	Sta-damp	r_Sta-damp	Vdw-damp	r_Vdw-damp
Mn	1	0	5516.7327	K07	-2.776		1984MNRAS.208..147B	Y	U	'  LS                                                                       3d6.(5D).4s a6D'	1.5	2.178	K07	'  LS                                                             3d5.(6S).4s.4p.(1P*) y6P*'	1.5	4.425	K07	8.62	K07	-6.0	K07	399.281	BA-J,BPM
Mn	1	0	5516.7479	K07	-2.776		1984MNRAS.208..147B	Y	U	'  LS                                                                       3d6.(5D).4s a6D'	1.5	2.178	K07	'  LS                                                             3d5.(6S).4s.4p.(1P*) y6P*'	1.5	4.425	K07	8.62	K07	-6.0	K07	399.281	BA-J,BPM
Mn	1	0	5516.7622	K07	-2.95		1984MNRAS.208..147B	Y	U	'  LS                                                                       3d6.(5D).4s a6D'	1.5	2.178	K07	'  LS                                                             3d5.(6S).4s.4p.(1P*) y6P*'	1.5	4.425	K07	8.62	K07	-6.0	K07	399.281	BA-J,BPM
Mn	1	0	5516.7814	K07	-2.878		1984MNRAS.208..147B	Y	U	'  LS                                                                       3d6.(5D).4s a6D'	1.5	2.178	K07	'  LS                                                             3d5.(6S).4s.4p.(1P*) y6P*'	1.5	4.425	K07	8.62	K07	-6.0	K07	399.281	BA-J,BPM
Mn	1	0	5516.8017	K07	-2.878		1984MNRAS.208..147B	Y	U	'  LS                                                                       3d6.(5D).4s a6D'	1.5	2.178	K07	'  LS                                                             3d5.(6S).4s.4p.(1P*) y6P*'	1.5	4.425	K07	8.62	K07	-6.0	K07	399.281	BA-J,BPM
Mn	1	0	5516.8208	K07	-2.401		1984MNRAS.208..147B	Y	U	'  LS                                                                       3d6.(5D).4s a6D'	1.5	2.178	K07	'  LS                                                             3d5.(6S).4s.4p.(1P*) y6P*'	1.5	4.425	K07	8.62	K07	-6.0	K07	399.281	BA-J,BPM
Sc	1	0	5520.482	LD	-0.339		LD	Y	U	'  LS                                                                      3d2.(3F).4s   2F'	3.5	1.865	LD	'  LS                                                                     3d2.(3F).4p   2G*'	4.5	4.11	LD	7.74	K09	-5.76	K09	-7.72	K09
Sc	1	0	5520.4936	LD	-0.19		LD	Y	U	'  LS                                                                      3d2.(3F).4s   2F'	3.5	1.865	LD	'  LS                                                                     3d2.(3F).4p   2G*'	4.5	4.11	LD	7.74	K09	-5.76	K09	-7.72	K09
Sc	1	0	5520.5078	LD	-0.309		LD	Y	U	'  LS                                                                      3d2.(3F).4s   2F'	3.5	1.865	LD	'  LS                                                                     3d2.(3F).4p   2G*'	4.5	4.11	LD	7.74	K09	-5.76	K09	-7.72	K09
Sc	1	0	5520.5188	LD	-0.434		LD	Y	U	'  LS                                                                      3d2.(3F).4s   2F'	3.5	1.865	LD	'  LS                                                                     3d2.(3F).4p   2G*'	4.5	4.11	LD	7.74	K09	-5.76	K09	-7.72	K09
Fe	1	0	5522.4461	K07	-1.45	0.05	MRW	U	Y	'  LS                                                         3p6.3d6.(5D).4s.4p.(3P*) z3P*'	2.0	4.209	K07	'  LS                                                         3p6.3d6.(5D).4s.\ (4D).5s g5D'	2.0	6.453	K07	8.02	K07	-5.57	K07	744.215	BA-J,BPM
Fe	1	0	5525.5436	K07	-1.084	0.036	BK	Y	U	'  LS                                                                  3p6.3d7.(4F).4p y5D*'	0.0	4.231	K07	'  LS                                                         3p6.3d6.(5D).4s.\ (4D).5s g5D'	1.0	6.474	K07	8.48	K07	-5.47	K07	749.238	BA-J,BPM
Sc	2	0	5526.79	LD	0.024		LD	Y	U	'  LS                                                                      3p6.3d2      a1G'	4.0	1.768	LD	'  LS                                                                     3p6.3d.4p     1F*'	3.0	4.011	LD	8.35	K09	-6.57	K09	-7.81	K09
Mg	1	0	5528.4047	NIST10	-0.498		1990JQSRT..43..207C	U	Y	'  LS                                                          3s.3p                    1P*'	1.0	4.346	NIST10	'  LS                                                              3s.4d                 1D'	2.0	6.588	NIST10	8.72	CDROM18	-4.46	CDROM18	1461.312	BA-J,BPM
Fe	1	0	5528.8978	K07	-1.92	0.1	MRW	U	U	'  LS                                                                  3p6.3d7.(4F).4p z3G*'	3.0	4.473	K07	'  LS                                                                   3p6.3d7.(4F).4d f5G'	3.0	6.715	K07	8.27	K07	-4.63	K07	957.28	BA-J,BPM
Co	1	0	5530.7348	K08	-2.86		1999ApJS..122..557N	Y	U	'  LS                                                                       3p6.3d7.4s2 a4P'	2.5	1.71	K08	'  LS                                                         3p6.3d7.(4F).4s.4p.(3P*) z2F*'	3.5	3.952	K08	7.71	K08	-6.2	K08	264.242	BA-J,BPM
Co	1	0	5530.7561	K08	-3.001		1999ApJS..122..557N	Y	U	'  LS                                                                       3p6.3d7.4s2 a4P'	2.5	1.71	K08	'  LS                                                         3p6.3d7.(4F).4s.4p.(3P*) z2F*'	3.5	3.952	K08	7.71	K08	-6.2	K08	264.242	BA-J,BPM
Co	1	0	5530.7732	K08	-3.054		1999ApJS..122..557N	Y	U	'  LS                                                                       3p6.3d7.4s2 a4P'	2.5	1.71	K08	'  LS                                                         3p6.3d7.(4F).4s.4p.(3P*) z2F*'	3.5	3.952	K08	7.71	K08	-6.2	K08	264.242	BA-J,BPM
Co	1	0	5530.7883	K08	-3.127		1999ApJS..122..557N	Y	U	'  LS                                                                       3p6.3d7.4s2 a4P'	2.5	1.71	K08	'  LS                                                         3p6.3d7.(4F).4s.4p.(3P*) z2F*'	3.5	3.952	K08	7.71	K08	-6.2	K08	264.242	BA-J,BPM
Co	1	0	5530.801	K08	-3.214		1999ApJS..122..557N	Y	U	'  LS                                                                       3p6.3d7.4s2 a4P'	2.5	1.71	K08	'  LS                                                         3p6.3d7.(4F).4s.4p.(3P*) z2F*'	3.5	3.952	K08	7.71	K08	-6.2	K08	264.242	BA-J,BPM
Co	1	0	5530.8129	K08	-3.089		1999ApJS..122..557N	Y	U	'  LS                                                                       3p6.3d7.4s2 a4P'	2.5	1.71	K08	'  LS                                                         3p6.3d7.(4F).4s.4p.(3P*) z2F*'	3.5	3.952	K08	7.71	K08	-6.2	K08	264.242	BA-J,BPM
Co	1	0	5530.8255	K08	-3.341		1999ApJS..122..557N	Y	U	'  LS                                                                       3p6.3d7.4s2 a4P'	2.5	1.71	K08	'  LS                                                         3p6.3d7.(4F).4s.4p.(3P*) z2F*'	3.5	3.952	K08	7.71	K08	-6.2	K08	264.242	BA-J,BPM
Nd	2	150	5533.805	HLSC	-1.23		HLSC	Y	U	'  LS                                                  4f4.(5I).6s                       4I'	6.5	0.559	HLSC	'                                                                                       4K*'	6.5	2.799	HLSC						
Nd	2	144	5533.8139	HLSC	-1.23		HLSC	Y	U	'  LS                                                  4f4.(5I).6s                       4I'	6.5	0.559	HLSC	'                                                                                       4K*'	6.5	2.799	HLSC						
Nd	2	143	5533.8185	HLSC	-1.23		HLSC	Y	U	'  LS                                                  4f4.(5I).6s                       4I'	6.5	0.559	HLSC	'                                                                                       4K*'	6.5	2.799	HLSC						
Nd	2	145	5533.8191	HLSC	-1.23		HLSC	Y	U	'  LS                                                  4f4.(5I).6s                       4I'	6.5	0.559	HLSC	'                                                                                       4K*'	6.5	2.799	HLSC						
