element	wave_A	wave_nm	loggf	EP	species	gamma	gamma6	vdW
106.1	5104.673	510.46729999999997	-7.029	2.361	106.00112	0.0	0.0	0.0
42.0	5104.688	510.4688	-1.7	3.387	42.0	0.0	0.0	0.0
112.1	5104.713	510.4713	-0.338	0.527	112.00124	0.0	0.0	0.0
27.0	5104.719	510.4719	-4.25	4.256	27.0	0.0	0.0	0.0
112.1	5104.722	510.4722	0.504	0.573	112.00126	0.0	0.0	0.0
26.0	5104.729	510.47290000000004	-2.92	4.984	26.0	0.0	0.0	0.0
112.1	5104.737	510.4737	-3.199	0.575	112.00124	0.0	0.0	0.0
112.1	5104.745	510.4745	-2.584	0.527	112.00124	0.0	0.0	0.0
112.1	5104.769	510.4769	0.009	0.283	112.00126	0.0	0.0	0.0
106.1	5104.805	510.4805	-3.753	2.055	106.00112	0.0	0.0	0.0
26.0	5104.813	510.48130000000003	-5.74	3.015	26.0	0.0	0.0	0.0
23.0	5104.828	510.48280000000005	-6.05	2.121	23.0	0.0	0.0	0.0
106.1	5104.84	510.48400000000004	-6.387	1.868	106.00113	0.0	0.0	0.0
22.0	5104.842	510.4842	-4.21	2.776	22.0	0.0	0.0	0.0
112.1	5104.877	510.4877	0.522	0.575	112.00124	0.0	0.0	0.0
106.1	5104.917	510.49170000000004	-3.775	2.055	106.00112	0.0	0.0	0.0
112.1	5104.988	510.4988	0.522	0.574	112.00125	0.0	0.0	0.0
106.1	5105.005	510.5005	-6.025	2.055	106.00112	0.0	0.0	0.0
106.1	5105.021	510.5021	-4.178	1.868	106.00113	0.0	0.0	0.0
112.1	5105.089	510.5089	0.522	0.573	112.00126	0.0	0.0	0.0
24.0	5105.142	510.51419999999996	-1.97	4.452	24.0	0.0	0.0	0.0
23.0	5105.146	510.5146	-0.19	2.787	23.0	0.0	0.0	0.0
58.1	5105.227	510.5227	-1.32	0.899	58.1	0.0	0.0	0.0
60.1	5105.23	510.52299999999997	-0.61	1.136	60.1	0.0	0.0	0.0
106.1	5105.276	510.5276	-7.99	1.826	106.00113	0.0	0.0	0.0
112.1	5105.32	510.532	0.286	0.546	112.00124	0.0	0.0	0.0
106.1	5105.33	510.533	-7.769	1.825	106.00113	0.0	0.0	0.0
112.1	5105.422	510.5422	-3.037	0.546	112.00124	0.0	0.0	0.0
112.1	5105.452	510.5452	-0.449	0.521	112.00124	0.0	0.0	0.0
112.1	5105.478	510.5478	-2.595	0.521	112.00124	0.0	0.0	0.0
29.1	5105.503	510.5503	-3.72	1.388	29.0065	0.0	0.0	0.0
29.1	5105.505	510.5505	-3.72	1.388	29.0063	0.0	0.0	0.0
29.1	5105.506	510.55060000000003	-2.766	1.388	29.0065	0.0	0.0	0.0
29.1	5105.509	510.5509	-2.766	1.388	29.0063	0.0	0.0	0.0
29.1	5105.509	510.5509	-2.72	1.388	29.0065	0.0	0.0	0.0
29.1	5105.51	510.55100000000004	-3.896	1.388	29.0065	0.0	0.0	0.0
29.1	5105.511	510.5511	-2.72	1.388	29.0063	0.0	0.0	0.0
29.1	5105.512	510.5512	-3.896	1.388	29.0063	0.0	0.0	0.0
29.1	5105.515	510.55150000000003	-2.653	1.388	29.0065	0.0	0.0	0.0
29.1	5105.517	510.5517	-2.653	1.388	29.0063	0.0	0.0	0.0
29.1	5105.519	510.55190000000005	-2.398	1.388	29.0065	0.0	0.0	0.0
29.1	5105.52	510.552	-2.398	1.388	29.0063	0.0	0.0	0.0
29.1	5105.53	510.553	-2.75	1.388	29.0065	0.0	0.0	0.0
29.1	5105.531	510.5531	-2.75	1.388	29.0063	0.0	0.0	0.0
106.1	5105.533	510.55330000000004	-5.757	2.161	106.00112	0.0	0.0	0.0
29.1	5105.536	510.5536	-2.148	1.388	29.0063	0.0	0.0	0.0
29.1	5105.536	510.5536	-2.148	1.388	29.0065	0.0	0.0	0.0
106.1	5105.558	510.5558	-4.294	2.161	106.00112	0.0	0.0	0.0
29.1	5105.558	510.5558	-1.942	1.388	29.0063	0.0	0.0	0.0
29.1	5105.56	510.55600000000004	-1.942	1.388	29.0065	0.0	0.0	0.0
24.0	5105.581	510.5581	-3.95	4.444	24.0	0.0	0.0	0.0
106.1	5105.592	510.5592	-4.529	2.161	106.00112	0.0	0.0	0.0
24.0	5105.601	510.5601	-2.19	3.548	24.0	0.0	0.0	0.0
112.1	5105.631	510.5631	-3.036	0.546	112.00124	0.0	0.0	0.0
21.0	5105.631	510.5631	-1.86	3.099	21.0	0.0	0.0	0.0
112.1	5105.632	510.56319999999994	-2.562	0.527	112.00124	0.0	0.0	0.0
